idmes,geom,date_sond,year,no_tarif,biomass_ha,type_couv,cl_dens,cl_haut,cl_age,cl_pent,vmb_m3_ha,volm3_ha,st_x,st_y,reseau,geom2,ID_TUILE,name,annee,densite,fuseau,contrat,Area,id_pe,shape,vmb_ha_tab,layer,path,laz_ID_TUI,laz_name,laz_annee,laz_densit,laz_fuseau,laz_contra,laz_Area
900910610203,0101000020DE190000F3326A763D48D0C03031D8E893DE2341,2015-11-06 00:00:00+00,"2015","8990",25010.470048869807215,F,A,"4","30",D,30.054749999999999,37.040339005214491,-16672.960352468257042,651081.954774415236898,SPIM,0101000020DE190000F3326A763D48D0C03031D8E893DE2341,16_2165525f06,16_2165525f06,"2016",1.000000000000000,f06,600015_25,"1000005",,,,PEP_synchrone_1an,C:/Users/Patawaitte/OneDrive - Université Laval/Desktop/ULaval/These/Placette/PEP_synchrone_1an.shp,16_2165525f06,16_2165525f06,"2016",1.000000000000000,f06,600015_25,"1000005"
740990180104,0101000020DE1900006BCDCAA512DADEC03E9F0B623DCE2641,2015-09-17 00:00:00+00,"2015","8990",83560.890473546474823,R,B,"2",VIN,D,131.113750000000010,145.176232699965738,-31592.291369152644620,747294.691494919126853,BAS1,0101000020DE1900006BCDCAA512DADEC03E9F0B623DCE2641,16_2025622f06,16_2025622f06,"2016",1.000000000000000,f06,600015_25,"999928",,,,PEP_synchrone_1an,C:/Users/Patawaitte/OneDrive - Université Laval/Desktop/ULaval/These/Placette/PEP_synchrone_1an.shp,16_2025622f06,16_2025622f06,"2016",1.000000000000000,f06,600015_25,"999928"
740990180204,0101000020DE190000A89F64747411DFC01AD05CB4DBCB2641,2015-09-17 00:00:00+00,"2015","8990",118345.221635732334107,R,B,"3",VIN,C,175.922750000000008,201.933228850536182,-31813.819604068674380,746989.852270606206730,BAS1,0101000020DE190000A89F64747411DFC01AD05CB4DBCB2641,16_2025622f06,16_2025622f06,"2016",1.000000000000000,f06,600015_25,"999928",,,,PEP_synchrone_1an,C:/Users/Patawaitte/OneDrive - Université Laval/Desktop/ULaval/These/Placette/PEP_synchrone_1an.shp,16_2025622f06,16_2025622f06,"2016",1.000000000000000,f06,600015_25,"999928"
740120080104,0101000020DE1900006B0CA345FF63E0C0684E01B0EF5F2341,2015-09-19 00:00:00+00,"2015",074C,66106.165080410821247,M,B,"3","70",D,99.185000000000002,107.842832169166954,-33567.977250599149556,634871.843759966082871,BAS1,0101000020DE1900006B0CA345FF63E0C0684E01B0EF5F2341,16_1985509f06,16_1985509f06,"2016",1.000000000000000,f06,600015_25,"999925",,,,PEP_synchrone_1an,C:/Users/Patawaitte/OneDrive - Université Laval/Desktop/ULaval/These/Placette/PEP_synchrone_1an.shp,16_1985509f06,16_1985509f06,"2016",1.000000000000000,f06,600015_25,"999925"
740990080104,0101000020DE1900000D2422A911DEABC0DC147BDAB8442441,2015-09-15 00:00:00+00,"2015","8990",79716.896569943288341,R,D,"3",VIN,E,134.187250000000006,148.291643039263221,-3567.034493510151606,664156.426720287185162,BAS1,0101000020DE1900000D2422A911DEABC0DC147BDAB8442441,16_2295538f06,16_2295538f06,"2016",1.000000000000000,f06,600015_25,"1000062",,,,PEP_synchrone_1an,C:/Users/Patawaitte/OneDrive - Université Laval/Desktop/ULaval/These/Placette/PEP_synchrone_1an.shp,16_2295538f06,16_2295538f06,"2016",1.000000000000000,f06,600015_25,"1000062"
740990080204,0101000020DE190000BC77D3315FC1ABC01F2AEB26BA412441,2015-09-15 00:00:00+00,"2015","8990",2850.841367703821106,R,C,"5","10",C,1.772250000000000,3.884134232622031,-3552.685927017560971,663773.076012913021259,BAS1,0101000020DE190000BC77D3315FC1ABC01F2AEB26BA412441,16_2295538f06,16_2295538f06,"2016",1.000000000000000,f06,600015_25,"1000062",,,,PEP_synchrone_1an,C:/Users/Patawaitte/OneDrive - Université Laval/Desktop/ULaval/These/Placette/PEP_synchrone_1an.shp,16_2295538f06,16_2295538f06,"2016",1.000000000000000,f06,600015_25,"1000062"
740990100104,0101000020DE190000D496AA153278A240C99E4861B01C2541,2016-07-06 00:00:00+00,"2016","8990",8284.617306733192891,R,,"6","10",C,9.922750000000001,13.553029740022197,2364.097821551238667,691800.190007173572667,BAS1,0101000020DE190000D496AA153278A240C99E4861B01C2541,16_2355566f06,16_2355566f06,"2016",1.000000000000000,f06,600015_25,"1000086",,,,PEP_synchrone_1an,C:/Users/Patawaitte/OneDrive - Université Laval/Desktop/ULaval/These/Placette/PEP_synchrone_1an.shp,16_2355566f06,16_2355566f06,"2016",1.000000000000000,f06,600015_25,"1000086"
740990100204,0101000020DE190000AFCDDA6A2A6BA04041D22B5F371A2541,2016-07-06 00:00:00+00,"2016","8990",280.690772888757863,R,,"6","10",C,,0.273844134813622,2101.582846486671315,691483.685881205019541,BAS1,0101000020DE190000AFCDDA6A2A6BA04041D22B5F371A2541,16_2355566f06,16_2355566f06,"2016",1.000000000000000,f06,600015_25,"1000086",,,,PEP_synchrone_1an,C:/Users/Patawaitte/OneDrive - Université Laval/Desktop/ULaval/These/Placette/PEP_synchrone_1an.shp,16_2355566f06,16_2355566f06,"2016",1.000000000000000,f06,600015_25,"1000086"
740990120104,0101000020DE1900005C37A9DF92FEC640352FDCF068642541,2015-10-18 00:00:00+00,"2015","8990",16551.682922512081859,M,,"6","10",C,15.389500000000000,22.159364644399496,11773.147450592070527,700980.470429873676039,BAS1,0101000020DE1900005C37A9DF92FEC640352FDCF068642541,16_2455575f06,16_2455575f06,"2016",1.000000000000000,f06,600015_25,"1000112",,,,PEP_synchrone_1an,C:/Users/Patawaitte/OneDrive - Université Laval/Desktop/ULaval/These/Placette/PEP_synchrone_1an.shp,16_2455575f06,16_2455575f06,"2016",1.000000000000000,f06,600015_25,"1000112"
740990120204,0101000020DE1900005DB5B2368141C6403B61D40A85632541,2015-10-18 00:00:00+00,"2015","8990",1825.273964920637809,R,,"6","10",D,0.818500000000000,2.355393261277894,11395.009481752926149,700866.521151579334401,BAS1,0101000020DE1900005DB5B2368141C6403B61D40A85632541,16_2455575f06,16_2455575f06,"2016",1.000000000000000,f06,600015_25,"1000112",,,,PEP_synchrone_1an,C:/Users/Patawaitte/OneDrive - Université Laval/Desktop/ULaval/These/Placette/PEP_synchrone_1an.shp,16_2455575f06,16_2455575f06,"2016",1.000000000000000,f06,600015_25,"1000112"
